,Year,Round,First_Name,Last_Name,Q_Time,Track,Points,Position,Wins
0,2020,1,Valtteri,Bottas,1:04.111,red_bull_ring,25,1,1
1,2020,1,Lewis,Hamilton,1:04.198,red_bull_ring,12,4,0
2,2020,1,Max,Verstappen,1:04.024,red_bull_ring,0,20,0
3,2020,1,Lando,Norris,1:04.606,red_bull_ring,16,3,0
4,2020,1,Alexander,Albon,1:04.661,red_bull_ring,0,13,0
5,2020,1,Sergio,Pérez,1:04.543,red_bull_ring,8,6,0
6,2020,1,Charles,Leclerc,1:04.500,red_bull_ring,18,2,0
7,2020,1,Carlos,Sainz,1:04.537,red_bull_ring,10,5,0
8,2020,1,Lance,Stroll,1:04.309,red_bull_ring,0,18,0
9,2020,1,Daniel,Ricciardo,1:04.556,red_bull_ring,0,19,0
10,2020,1,Sebastian,Vettel,1:04.554,red_bull_ring,1,10,0
11,2020,1,Pierre,Gasly,1:04.603,red_bull_ring,6,7,0
12,2020,1,Daniil,Kvyat,1:05.031,red_bull_ring,0,12,0
13,2020,1,Esteban,Ocon,1:04.933,red_bull_ring,4,8,0
14,2020,1,Romain,Grosjean,1:05.094,red_bull_ring,0,16,0
15,2020,1,Kevin,Magnussen,1:05.164,red_bull_ring,0,17,0
16,2020,1,George,Russell,1:05.167,red_bull_ring,0,15,0
17,2020,1,Antonio,Giovinazzi,1:05.175,red_bull_ring,2,9,0
18,2020,1,Kimi,Räikkönen,1:05.224,red_bull_ring,0,14,0
19,2020,1,Nicholas,Latifi,1:05.757,red_bull_ring,0,11,0
20,2020,2,Valtteri,Bottas,1:04.111,red_bull_ring,43,1,1
21,2020,2,Lewis,Hamilton,1:04.198,red_bull_ring,37,2,1
22,2020,2,Max,Verstappen,1:04.024,red_bull_ring,15,6,0
23,2020,2,Lando,Norris,1:04.606,red_bull_ring,26,3,0
24,2020,2,Alexander,Albon,1:04.661,red_bull_ring,12,8,0
25,2020,2,Sergio,Pérez,1:04.543,red_bull_ring,16,5,0
26,2020,2,Charles,Leclerc,1:04.500,red_bull_ring,18,4,0
27,2020,2,Carlos,Sainz,1:04.537,red_bull_ring,13,7,0
28,2020,2,Lance,Stroll,1:04.309,red_bull_ring,6,10,0
29,2020,2,Daniel,Ricciardo,1:04.556,red_bull_ring,4,12,0
30,2020,2,Sebastian,Vettel,1:04.554,red_bull_ring,1,15,0
31,2020,2,Pierre,Gasly,1:04.603,red_bull_ring,6,9,0
32,2020,2,Daniil,Kvyat,1:05.031,red_bull_ring,1,14,0
33,2020,2,Esteban,Ocon,1:04.933,red_bull_ring,4,11,0
34,2020,2,Romain,Grosjean,1:05.094,red_bull_ring,0,19,0
35,2020,2,Kevin,Magnussen,1:05.164,red_bull_ring,0,18,0
36,2020,2,George,Russell,1:05.167,red_bull_ring,0,20,0
37,2020,2,Antonio,Giovinazzi,1:05.175,red_bull_ring,2,13,0
38,2020,2,Kimi,Räikkönen,1:05.224,red_bull_ring,0,17,0
39,2020,2,Nicholas,Latifi,1:05.757,red_bull_ring,0,16,0
40,2020,3,Lewis,Hamilton,1:18.188,hungaroring,63,1,2
41,2020,3,Max,Verstappen,1:18.297,hungaroring,33,3,0
42,2020,3,Carlos,Sainz,1:18.590,hungaroring,15,9,0
